task_id,group,winner,dehb_beat_floor,ezr_beat_floor,n_decisions,rows,objective,coverage,x_dup_rate,med_ezr,med_dehb,R,I,drr,drr_commit,drr_dirty
hpo__Health-ClosedPRs0007,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.018350065385930925,0.005773502691896263,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0008,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.581251322637065,0.30643307864046054,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0009,hpo,dehb,True,False,5,10000,multi,-6.62,0.0,0.6382490955553952,0.22157713810879984,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0010,hpo,dehb,True,False,5,10000,multi,-6.62,0.0,0.5212529164529611,0.18662770652203237,5.0,3.0,0.4,defce44,True
hpo__Health-ClosedPRs0011,hpo,tie,False,False,5,10000,multi,-6.62,0.0,0.0,0.0,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0000,hpo,dehb,True,True,5,10000,multi,-6.62,0.0,0.2228386225470668,0.053550891893199684,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0001,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.16495721976846373,0.16495721976846353,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0002,hpo,dehb,False,True,5,10000,multi,-6.62,0.0,0.5021850370066041,0.1858674917336932,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0003,hpo,dehb,True,False,5,10000,multi,-6.62,0.0,0.3495990264760409,0.20194621288943082,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0004,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.22523419438228454,0.17808857111604398,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0005,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.21929401052626274,0.1659119946895571,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0006,hpo,dehb,False,True,5,10000,multi,-6.62,0.0,0.26757665918937745,0.21899792983686894,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0007,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.16350016906988404,0.13610253528628274,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0008,hpo,dehb,True,True,5,10000,multi,-6.62,0.0,0.3498153157495633,0.2531250880316527,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0009,hpo,dehb,False,True,5,10000,multi,-6.62,0.0,0.12122786278661879,0.11060903957062748,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0010,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.30319955060036463,0.26256099721085474,5.0,3.0,0.4,defce44,True
hpo__Health-Commits0011,hpo,dehb,False,False,5,10000,multi,-6.62,0.0,0.0054186471084860625,0.0,5.0,3.0,0.4,defce44,True
misc__Car_price_cleaned,misc,tie,True,True,38,205,multi,-189.74,0.0,0.21091353218222497,0.21859238373882534,38.0,2.0,0.9473684210526316,defce44,True
misc__Wine_quality,misc,tie,True,False,10,1599,multi,-58.33,0.1526,0.2808979894434505,0.2781459877792479,10.0,3.0,0.7,defce44,True
misc__auto93,misc,dehb,True,True,4,398,multi,-5.39,0.2312,0.2524588519549761,0.20162341054385607,4.0,1.0,0.75,defce44,True
process__coc1000,process,ezr,True,False,20,1000,multi,-36.76,0.0,0.2620399605168124,0.317051030476202,20.0,7.0,0.65,defce44,True
process__nasa93dem,process,dehb,False,True,22,93,multi,-18.88,0.4086,0.43010237312109206,0.38899398447783173,22.0,3.0,0.8636363636363636,defce44,True
