dataset_name,n_cov_pairs,mean_pairwise_cov,mean_abs_pairwise_cov,stability_score,performance_score,stability_jaccard
socks,1,-0.0005113765876756363,0.0005113765876756363,24.0,6.26,0.6914
wallpaper,0,,,27.0,40.58,0.7135
7z,3,-2.2159494510940786e-19,2.2159494510940786e-19,54.0,3.8,0.5261
BDBC,0,,,56.0,1.18,0.6484
HSQLDB,0,,,36.0,1.05,0.3508
LLVM,0,,,36.0,8.46,0.6715
PostgreSQL,3,1.133178654060506e-18,1.7757026331669785e-18,11.0,4.33,0.4854
dconvert,0,,,17.0,8.88,0.2034
deeparch,0,,,21.0,7.18,0.6444
exastencils,3,3.5953465739814654e-05,3.5953465739814654e-05,24.0,15.87,0.5508
javagc,253,0.0023836694706594708,0.008185979532935548,52.0,5.05,0.156
redis,28,0.0037439390724573643,0.006643957790852626,0.0,48.53,0.2798
storm,36,0.005813299145468454,0.012596410200810567,2.0,0.81,0.3118
x264,78,0.0018637232616965844,0.0019645444343856337,11.0,46.7,0.3153
dataset120,36,0.02726355676223731,0.027573000771348978,3.0,14.31,0.2234
dataset600,36,0.027410280763010365,0.02764660804879609,0.0,14.76,0.2561
