dataset,domain,n_rows,n_x,n_y,n_pairs,x_var_mean,x_var_std,x_var_min,x_var_max,corr_mean,corr_std,corr_min,corr_max,y_var_mean,y_var_std,y_var_min,y_var_max,performance_rmse,ezr_stability_agreement,stability_jaccard_mean,stability_jaccard_min,stability_jaccard_max
SS-N,config,53662,17,2,136,0.4581467706875035,0.24701009812112654,0.12179095496833037,0.8467933357569932,0.058349802417655784,0.11275729631282785,0.00037253556873501705,0.5878456484539825,0.16030858487527716,0.006424581694156786,0.1538840031811204,0.16673316656943396,45.54,0.0,0.2777,0.0833,0.6667
SS-O,config,972,11,2,55,0.8318967514842853,0.2662730761982588,0.0,1.0,0.044444444444444446,0.14229164972072994,0.0,0.5,0.3851816021213391,0.11128391683226338,0.27389768528907577,0.4964655189536025,10.37,0.0,0.5373,0.1429,1.0
SS-P,config,1023,11,2,55,0.8864072654373736,0.2892497467628246,0.0,0.9999990444603064,0.013709000120810671,0.08494389049013966,0.0005647378218570883,0.5771620539379447,0.5854866357090631,0.10127528472110064,0.48421135098796253,0.6867619204301638,2.95,0.0,0.5595,0.2222,1.0
SS-Q,config,2736,13,3,78,0.7754774062571522,0.30119844584022315,0.0,1.0,0.055270299970582866,0.15596393733272215,0.0,0.9000000000000001,0.5587863855387476,0.021322814465584976,0.5292894529078571,0.578960886237347,2.66,1.0,0.6352,0.2,1.0
SS-R,config,3008,14,2,91,0.7896521396402089,0.31005342768435773,0.0,1.0,0.06698072726391728,0.15678734529987376,0.0,0.915385729888094,0.5429311499556602,0.03240443510375973,0.5105267148519004,0.5753355850594198,16.52,0.0,0.5466,0.2857,1.0
SS-S,config,3840,6,2,15,0.8274805652878321,0.10257811468294079,0.695387671619817,1.0,3.113070378853297e-16,5.23559964353832e-16,2.2007486424481885e-18,2.0452922998677164e-15,0.46302146738580785,0.085620280000691,0.37740118738511685,0.5486417473864988,2.2,40.0,0.5433,0.1667,1.0
SS-T,config,5184,12,2,66,0.7145019279833301,0.18711409959200992,0.5555555555555554,1.0,0.04545454545454546,0.08381404052084443,0.0,0.2,0.4938999403250788,0.12456399691139852,0.36933594341368026,0.6184639372364773,3.25,4.0,0.5772,0.2857,1.0
SS-U,config,4608,21,2,210,0.7301587301587301,0.36482047411305407,0.0,1.0,0.03676470588235294,0.12074654839954511,0.0,0.5,0.5783935452240051,0.11744830898045189,0.4609452362435532,0.695841854204457,4.12,0.0,0.6254,0.3333,1.0
SS-V,config,6840,16,2,120,0.8197565428680692,0.2439291092694693,0.1994459833795017,1.0,0.06630766523428648,0.16990454437502436,0.0,1.0,0.4823344362202129,0.10886749119170658,0.3734669450285063,0.5912019274119195,11.65,0.0,0.5086,0.1429,1.0
SS-W,config,65536,16,2,120,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3262937694147571,0.03780643768331249,0.2884873317314446,0.36410020709806956,41.11,0.0,0.6889,0.2857,1.0
SS-X,config,86058,11,2,55,0.8696004999366004,0.2781097441411892,0.0019512190474419988,1.0,0.0658179430859024,0.20887196547458942,0.0,1.0,0.3523526272514206,0.04213870432415867,0.3102139229272619,0.39449133157557925,35.65,46.0,0.8235,0.4286,1.0
X264_AllMeasurements,config,1152,16,1,120,0.7708333333333333,0.37364725145318345,0.0,1.0,0.038461538461538464,0.13323467750529824,0.0,0.5,0.5625129604536921,0.0,0.5625129604536921,0.5625129604536921,1.64,0.0,0.6024,0.25,1.0
rs-6d-c3_obj1,config,3840,6,1,15,0.8274805652878321,0.10257811468294079,0.695387671619817,1.0,3.113070378853297e-16,5.23559964353832e-16,2.2007486424481885e-18,2.0452922998677164e-15,0.5486417473864988,0.0,0.5486417473864988,0.5486417473864988,0.81,57.0,0.5769,0.1667,1.0
rs-6d-c3_obj2,config,3840,6,1,15,0.8274805652878321,0.10257811468294079,0.695387671619817,1.0,3.113070378853297e-16,5.23559964353832e-16,2.2007486424481885e-18,2.0452922998677164e-15,0.37740118738511685,0.0,0.37740118738511685,0.37740118738511685,0.77,41.0,0.6118,0.3333,1.0
sol-6d-c2-obj1,config,2866,6,1,15,0.8183673493771729,0.09972819914877913,0.7313286759150881,0.9999880690151467,0.0018524488744576574,0.0016835164348918108,9.263215316592492e-05,0.006598864306589851,0.3924089938253656,0.0,0.3924089938253656,0.3924089938253656,3.87,31.0,0.5439,0.1667,1.0
