task,n_rows,n_x,n_y,sym_ratio,missing_density,eff_rank_x,cca_1,linear_r2,y_corr_mean,fdc,smoothness,d2h_var,d2h_skew,d2h_tail_gap,nb_auc_med,nb_auc_iqr,landmark_10_med,landmark_10_iqr,labels_used_total
FM-500-100-0.25-SAT-1,10000,517,3,0.9864603481624759,0.0,18.32210935268666,0.9999999999999999,0.7645733654946609,0.5467926159564388,0.6318697281497362,0.16336225894189693,0.01317118720815528,-0.19196713065259255,0.8580527267081972,0.8293790414606315,0.12837580829212625,61.5,17.75,46
FM-500-100-0.50-SAT-1,10000,513,3,0.98635477582846,0.0,18.961940929016954,1.0,0.8210521104747336,0.4670979606116397,0.6046775821854717,0.10295019863504513,0.01774323393219253,-0.3817170655710616,1.1204478568327112,0.8707921262837581,0.0428157093952074,64.5,42.75,46
FM-500-100-0.75-SAT-1,10000,511,3,0.9863013698630136,0.0,13.748984673831533,0.9999999999999998,0.8357090934909293,0.5062563445119656,0.7617762388239808,0.14110711017032418,0.019105903486138196,-0.35112412586342745,1.0096880965124977,0.8987495245340433,0.07426778242677823,63.5,22.5,46
FM-500-100-1.00-SAT-1,10000,511,3,0.9941291585127201,0.0,13.654574143492624,0.9999999999999989,0.8279875030325281,0.4824475521804566,0.6410976173557023,0.1818021746160525,0.0183201527260452,-0.2355072019985916,0.9660121977976908,0.8505372765310004,0.09272774819322949,64.0,28.25,46
HSMGP_num,3456,14,1,0.7857142857142857,0.0,9.302191993255569,0.9214162284498184,0.9521456565409784,nan,0.48428232856157744,0.20022440158063107,0.0484197880056363,1.8037787230571234,0.6096853153655509,0.8937333586915177,0.10241536705971854,100.0,0.0,46
HSQLDB,864,18,1,1.0,0.0,11.051043061509558,0.9364022672380726,0.8996401215571931,nan,0.4759831412522718,0.3367836858486722,0.08689635937791437,1.0336327561308254,0.18518099120186862,0.8813474705211106,0.034970521110688546,100.0,0.0,46
Health-ClosedIssues0000,10000,5,3,0.2,0.0,5.882224344557488,0.832808541478228,0.691855336650276,-0.333516223136229,0.4194430355031134,0.2635311423217358,0.07222645827792712,-1.002955963803419,1.7276971714006328,0.924163179916318,0.0453832255610499,100.0,0.0,46
Health-ClosedIssues0001,10000,5,3,0.2,0.0,5.882224344557488,0.9855321970194505,0.7241824124459381,-0.31179446817502343,0.27543888072401346,0.3909324114005278,0.05048050981531084,0.3061943335555055,0.47821801316997065,0.6707398250285279,0.24507892734880188,54.0,6.25,46
Health-ClosedIssues0002,10000,5,3,0.2,0.0,5.882224344557488,0.9955796782208912,0.9897807349657407,-0.3382757225800492,0.6538733778395996,0.44476620578095655,0.09218814015123307,-0.7165514565343081,0.9965811978335699,0.7994009128946368,0.14114206922784334,100.0,0.0,46
Health-ClosedIssues0003,10000,5,3,0.2,0.0,5.882224344557488,0.8246297663068315,0.16204790425227655,-0.09223939074733478,0.18071362953351602,0.08777535977535979,0.02778320238860049,-0.3536153429994137,2.279164315941636,0.87804298212248,0.07961677443895021,53.0,59.75,46
