task,path,n_rows,n_used,R,I_fit,fit_r2,fit_n_radii,fit_degree,fit_argmax_frac,I_linear,I_maxgrad,drr_fit,drr_maxgrad,seed,runtime_s,status
hpo/Health-ClosedIssues0001.csv,data/moot/optimize/hpo/Health-ClosedIssues0001.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0002.csv,data/moot/optimize/hpo/Health-ClosedIssues0002.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0003.csv,data/moot/optimize/hpo/Health-ClosedIssues0003.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0004.csv,data/moot/optimize/hpo/Health-ClosedIssues0004.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0005.csv,data/moot/optimize/hpo/Health-ClosedIssues0005.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0006.csv,data/moot/optimize/hpo/Health-ClosedIssues0006.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0007.csv,data/moot/optimize/hpo/Health-ClosedIssues0007.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0008.csv,data/moot/optimize/hpo/Health-ClosedIssues0008.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0009.csv,data/moot/optimize/hpo/Health-ClosedIssues0009.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0010.csv,data/moot/optimize/hpo/Health-ClosedIssues0010.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedIssues0011.csv,data/moot/optimize/hpo/Health-ClosedIssues0011.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0000.csv,data/moot/optimize/hpo/Health-ClosedPRs0000.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0002.csv,data/moot/optimize/hpo/Health-ClosedPRs0002.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0003.csv,data/moot/optimize/hpo/Health-ClosedPRs0003.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0004.csv,data/moot/optimize/hpo/Health-ClosedPRs0004.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0005.csv,data/moot/optimize/hpo/Health-ClosedPRs0005.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0006.csv,data/moot/optimize/hpo/Health-ClosedPRs0006.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0007.csv,data/moot/optimize/hpo/Health-ClosedPRs0007.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0008.csv,data/moot/optimize/hpo/Health-ClosedPRs0008.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0009.csv,data/moot/optimize/hpo/Health-ClosedPRs0009.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0010.csv,data/moot/optimize/hpo/Health-ClosedPRs0010.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-ClosedPRs0011.csv,data/moot/optimize/hpo/Health-ClosedPRs0011.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0000.csv,data/moot/optimize/hpo/Health-Commits0000.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0001.csv,data/moot/optimize/hpo/Health-Commits0001.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0002.csv,data/moot/optimize/hpo/Health-Commits0002.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0003.csv,data/moot/optimize/hpo/Health-Commits0003.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0004.csv,data/moot/optimize/hpo/Health-Commits0004.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0005.csv,data/moot/optimize/hpo/Health-Commits0005.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0006.csv,data/moot/optimize/hpo/Health-Commits0006.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0007.csv,data/moot/optimize/hpo/Health-Commits0007.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0008.csv,data/moot/optimize/hpo/Health-Commits0008.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0009.csv,data/moot/optimize/hpo/Health-Commits0009.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
hpo/Health-Commits0010.csv,data/moot/optimize/hpo/Health-Commits0010.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.17,ok
hpo/Health-Commits0011.csv,data/moot/optimize/hpo/Health-Commits0011.csv,10000,2000,5,2.8374,1.0,60,3,0.0,2.773,5.898,0.4325,-0.1796,42,0.16,ok
misc/Car_price_cleaned.csv,data/moot/optimize/misc/Car_price_cleaned.csv,205,205,38,5.8964,0.9992,60,3,0.3434,5.6867,10.6312,0.8448,0.7202,42,0.01,ok
misc/Wine_quality.csv,data/moot/optimize/misc/Wine_quality.csv,1599,1599,10,4.9307,1.0,60,3,0.0,4.4057,4.9176,0.5069,0.5082,42,0.14,ok
misc/auto93.csv,data/moot/optimize/misc/auto93.csv,398,398,4,1.7589,0.9958,60,3,0.0,1.1697,2.0039,0.5603,0.499,42,0.01,ok
process/coc1000.csv,data/moot/optimize/process/coc1000.csv,1000,1000,20,12.9586,1.0,60,3,0.0,11.6485,20.6426,0.3521,-0.0321,42,0.08,ok
process/nasa93dem.csv,data/moot/optimize/process/nasa93dem.csv,93,93,22,1.4267,0.8795,7,1,0.0,1.4267,9.6211,0.9352,0.5627,42,0.01,ok
process/pom3a.csv,data/moot/optimize/process/pom3a.csv,20000,2000,9,6.2767,1.0,60,3,0.3409,6.1931,13.1406,0.3026,-0.4601,42,0.24,ok
process/pom3b.csv,data/moot/optimize/process/pom3b.csv,20000,2000,9,6.2615,1.0,60,3,0.3835,6.1844,10.3332,0.3043,-0.1481,42,0.24,ok
process/pom3c.csv,data/moot/optimize/process/pom3c.csv,20000,2000,9,6.2614,1.0,60,3,0.3609,6.1825,12.0925,0.3043,-0.3436,42,0.25,ok
process/pom3d.csv,data/moot/optimize/process/pom3d.csv,500,500,9,6.2293,1.0,60,3,0.4912,6.1379,8.4835,0.3079,0.0574,42,0.02,ok
process/xomo_flight.csv,data/moot/optimize/process/xomo_flight.csv,10000,2000,24,14.1769,1.0,60,3,0.0,12.5688,18.1016,0.4093,0.2458,42,0.38,ok
process/xomo_ground.csv,data/moot/optimize/process/xomo_ground.csv,10000,2000,24,14.0163,1.0,60,3,0.0,12.5951,18.1788,0.416,0.2425,42,0.37,ok
process/xomo_osp.csv,data/moot/optimize/process/xomo_osp.csv,10000,2000,24,14.1184,1.0,60,3,0.0,12.5579,22.2928,0.4117,0.0711,42,0.4,ok
process/xomo_osp2.csv,data/moot/optimize/process/xomo_osp2.csv,10000,2000,24,12.7323,1.0,60,3,0.0,11.3416,26.2593,0.4695,-0.0941,42,0.38,ok
rl/A2C_Acrobot.csv,data/moot/optimize/rl/A2C_Acrobot.csv,223,223,10,6.142,0.9999,60,3,0.7594,6.022,12.5183,0.3858,-0.2518,42,0.01,ok
rl/A2C_CartPole.csv,data/moot/optimize/rl/A2C_CartPole.csv,317,317,7,4.8576,1.0,60,3,0.6266,4.8007,8.6766,0.3061,-0.2395,42,0.01,ok
sales_data/Marketing_Analytics.csv,data/moot/optimize/sales_data/Marketing_Analytics.csv,2205,2000,31,5.5036,0.9986,60,3,0.5539,5.4599,5.7351,0.8225,0.815,42,0.42,ok
sales_data/accessories.csv,data/moot/optimize/sales_data/accessories.csv,1121,1121,14,16.4179,0.9503,3,1,0.0,16.4179,152.1556,nan,-9.8683,42,0.05,warn: I_fit>R (no clean scaling region)
sales_data/dress-up.csv,data/moot/optimize/sales_data/dress-up.csv,913,913,20,15.3166,0.9598,4,1,0.0,15.3166,106.4412,0.2342,-4.3221,42,0.05,ok
sales_data/socks.csv,data/moot/optimize/sales_data/socks.csv,350,350,20,1.2773,0.9959,60,3,1.0,0.4856,3.3703,0.9361,0.8315,42,0.01,ok
sales_data/wallpaper.csv,data/moot/optimize/sales_data/wallpaper.csv,247,247,22,16.862,0.981,60,3,0.5815,16.1748,65.4841,0.2335,-1.9765,42,0.01,ok
systems/7z.csv,data/moot/optimize/systems/7z.csv,68640,2000,14,5.3215,0.9909,60,3,0.0,4.661,5.3282,0.6199,0.6194,42,0.29,ok
systems/BDBC.csv,data/moot/optimize/systems/BDBC.csv,2560,2000,16,5.5833,0.9016,4,1,0.0,5.5833,26.5238,0.651,-0.6577,42,0.17,ok
systems/HSQLDB.csv,data/moot/optimize/systems/HSQLDB.csv,864,864,18,6.2324,0.9875,4,1,0.0,6.2324,22.804,0.6538,-0.2669,42,0.04,ok
systems/LLVM.csv,data/moot/optimize/systems/LLVM.csv,1024,1024,10,8.2248,0.9994,3,1,0.0,8.2248,29.2929,0.1775,-1.9293,42,0.03,ok
systems/PostgreSQL.csv,data/moot/optimize/systems/PostgreSQL.csv,19008,2000,9,4.8721,0.9853,51,3,0.8772,3.8969,6.2024,0.4587,0.3108,42,0.16,ok
systems/dconvert.csv,data/moot/optimize/systems/dconvert.csv,6764,2000,18,5.7769,0.9648,4,1,0.0,5.7769,22.489,0.6791,-0.2494,42,0.21,ok
systems/deeparch.csv,data/moot/optimize/systems/deeparch.csv,4096,2000,12,6.6276,0.946,4,1,0.0,6.6276,29.7023,0.4477,-1.4752,42,0.14,ok
systems/exastencils.csv,data/moot/optimize/systems/exastencils.csv,86058,2000,12,7.857,0.9847,60,3,1.0,5.2679,7.7604,0.3453,0.3533,42,0.29,ok
systems/javagc.csv,data/moot/optimize/systems/javagc.csv,166975,2000,35,7.6836,0.9996,60,3,0.0,5.9209,6.7018,0.7805,0.8085,42,0.94,ok
systems/redis.csv,data/moot/optimize/systems/redis.csv,4400,2000,9,5.3907,1.0,60,3,0.4286,5.2496,5.2945,0.401,0.4117,42,0.19,ok
systems/storm.csv,data/moot/optimize/systems/storm.csv,1557,1557,12,6.7446,0.9414,59,3,0.7043,5.5654,21.4824,0.438,-0.7902,42,0.12,ok
systems/x264.csv,data/moot/optimize/systems/x264.csv,53662,2000,17,6.4076,0.9969,60,3,0.3033,5.953,4.9921,0.6231,0.7063,42,0.33,ok
test/dataset120.csv,data/moot/optimize/test/dataset120.csv,5160,2000,9,1.9259,1.0,60,3,1.0,1.7226,2.1954,0.786,0.7561,42,0.21,ok
test/dataset600.csv,data/moot/optimize/test/dataset600.csv,5160,2000,9,1.7522,0.9999,60,3,0.0,1.6962,2.295,0.8053,0.745,42,0.21,ok
