task_id,dir,budget,winner,objective,input_shape,rows,n_decisions,coverage,x_dup_rate,smac_on_table,drr,R,I,drr_spread
hpo__Health-ClosedIssues0007,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0008,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0009,hpo,30,smac,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0010,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0011,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0000,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0002,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0003,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0004,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0005,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0006,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0007,hpo,30,smac,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0008,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0009,hpo,30,smac,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0010,hpo,30,smac,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0011,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0000,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0001,hpo,30,smac,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0002,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0003,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0004,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0005,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0006,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0007,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0008,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
